DoctrineMigrations\Version20201216133802,2020-12-17 12:14:07,1160
DoctrineMigrations\Version20201216142015,2020-12-17 12:14:08,66
DoctrineMigrations\Version20201216162540,2020-12-17 12:14:08,111
DoctrineMigrations\Version20201216191708,2020-12-17 12:14:08,33
DoctrineMigrations\Version20201217151604,2020-12-17 16:16:12,90
DoctrineMigrations\Version20201217153836,2020-12-17 16:38:43,194
DoctrineMigrations\Version20201217154639,2020-12-17 16:46:44,45
DoctrineMigrations\Version20201221195659,2020-12-21 20:57:11,122
DoctrineMigrations\Version20201222162424,2020-12-22 17:24:30,156
DoctrineMigrations\Version20201222163317,2020-12-22 17:33:23,126
DoctrineMigrations\Version20201222173819,2020-12-22 18:38:23,116
DoctrineMigrations\Version20201224182114,2020-12-24 19:21:20,76
DoctrineMigrations\Version20201224182741,2020-12-24 19:27:46,42
DoctrineMigrations\Version20201224183319,2020-12-24 19:33:32,134
